"Supplementary Data 6. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_A1	C00008934	SRR2100385	tuberculosis	R	R	R	S	S	S	 	S	S	S
MTBC_A1	C00009070	SRR2100391	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00009088	SRR2100270	tuberculosis	S	R	S					S		
MTBC_A1	C00009113	SRR2467270	tuberculosis	S	R	S					S		
MTBC_A1	C00012868	SRR2100467	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012873	SRR2100472	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012875	SRR2100474	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012882	SRR2100480	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012897	SRR2100494	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012899	SRR2100495	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012901	SRR2100497	tuberculosis	 	 	 	 	 	 	 	 	 	 
MTBC_A1	C00012905	SRR2467271	tuberculosis	S	R				S	S	S		
MTBC_A1	C00012907	SRR2100502	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012909	SRR2100504	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012913	SRR2100507	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012921	SRR2100514	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012924	SRR2100517	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012930	SRR2100522	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012942	SRR2100533	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012945	SRR2100536	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012947	SRR2100538	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012948	SRR2100539	africanum	S	S	S	 	 	 	 	 	 	 
