comid	country
3676-04	Uzbekistan
3677-04	Uzbekistan
3678-04	Uzbekistan
3691-08	Germany
3692-05	Germany
3692-08	Germany
3694-05	Germany
3695-10	Germany
3696-10	Germany
3699-10	Germany
37-06	Germany
3709-08	Germany
3717-07	Germany
3734-04	Sierra Leone
3736-04	Sierra Leone
3766-11	Germany
377-09	Germany
3796-11	Germany
3798-11	Germany
38-12	Germany
3800-05	Uzbekistan
3806-05	Uzbekistan
3811-05	Uzbekistan
3826-09	Germany
3827-09	Germany
3846-10	Germany
3859-03	Sierra Leone
3861-03	Sierra Leone
3862-09	Germany
3865-03	Sierra Leone
3866-09	Germany
3901-05	Germany
3903-09	Germany
3929-10	Germany
3930-06	Germany
3941-08	Germany
3944-06	Germany
3974-05	Germany
3980-06	Germany
3986-07	Germany
3987-07	Germany
4003-05	Germany
4003-11	Germany
4004-05	Germany
4004-11	Germany
4005-05	Germany
4063-09	Germany
4080-07	Germany
4117-12	Germany
4122-12	Germany
4129-11	Germany
4132-07	Germany
4139-04	Sierra Leone
4145-04	Sierra Leone
4147-10	Germany
4148-04	Sierra Leone
4157-06	Germany
418-08	Germany
420-04	Sierra Leone
4203-06	Germany
421-04	Sierra Leone
4215-06	Germany
4220-07	Germany
425-06	Germany
4312-12	Germany
4342-06	Germany
4345-06	Germany
4347-06	Germany
4353-06	Germany
4355-06	Germany
4373-05	Germany
4375-05	Germany
4381-10	Germany
4382-05	Germany
4385-10	Germany
4386-12	Germany
4388-11	Germany
4403-05	Germany
4427-05	Germany
444-09	Germany
4456-05	Germany
4458-11	Germany
448-07	Germany
4484-07	Germany
4491-05	Uzbekistan
4514-03	Sierra Leone
4516-03	Sierra Leone
4518-03	Sierra Leone
4523-03	Sierra Leone
4524-06	Germany
4524-07	Germany
4526-07	Germany
4534-04	Uzbekistan
4536-04	Uzbekistan
4538-04	Uzbekistan
4539-04	Uzbekistan
4542-04	Uzbekistan
4543-04	Uzbekistan
4543-07	Germany
4544-04	Uzbekistan
4545-12	Germany
4546-04	Uzbekistan
4549-04	Uzbekistan
4555-09	Germany
4591-10	Germany
4615-05	Germany
4617-05	Germany
4628-09	Germany
4632-06	Germany
4632-09	Germany
4652-05	Germany
4660-09	Germany
4665-11	Germany
4682-08	Germany
4682-11	Germany
4686-05	Germany
4690-10	Germany
4702-11	Germany
4712-04	Sierra Leone
4717-04	Sierra Leone
4720-06	Germany
4725-08	Germany
4730-03	Sierra Leone
4733-10	Germany
4740-11	Germany
475-09	Germany
4751-12	Germany
4757-09	Germany
4766-08	Germany
4779-04	Sierra Leone
4781-04	Sierra Leone
4783-04	Sierra Leone
4785-04	Sierra Leone
4790-09	Germany
4794-07	Germany
