comid	country
TRL0018368-S11	South Afica
TRL0018403-S8	South Afica
TRL0018441-S3	South Afica
TRL0018445	South Afica
TRL0018485-S17	South Afica
TRL0018488-S5	South Afica
TRL0018583-S31	South Afica
TRL0018632-S1	South Afica
TRL0018664-S13	South Afica
TRL0018722-S6	South Afica
TRL0018733-S5	South Afica
TRL0018790	South Afica
TRL0018800-S4	South Afica
TRL0018811	South Afica
TRL0018813-S15	South Afica
TRL0018872-S1	South Afica
TRL0018937	South Afica
TRL0018958-S9	South Afica
TRL0019058-S6	South Afica
TRL0019063-S15	South Afica
TRL0019074-S4	South Afica
TRL0019143-S29	South Afica
TRL0019195-S16	South Afica
TRL0019282-S7	South Afica
TRL0019284	South Afica
TRL0019292	South Afica
TRL0019680-S8	South Afica
TRL0019899	South Afica
TRL0019955-S17	South Afica
TRL0019973-S18	South Afica
TRL0020341-S24	South Afica
TRL0020344-S21	South Afica
TRL0020517	South Afica
TRL0020863-S23	South Afica
TRL0020966-S27	South Afica
TRL0020986	South Afica
TRL0021012-S4	South Afica
TRL0021250-S11	South Afica
TRL0021300-S41	South Afica
TRL0021378-S12	South Afica
TRL0021395-S24	South Afica
TRL0021417-S36	South Afica
TRL0021420-S12	South Afica
TRL0021714	South Afica
TRL0021763-S20	South Afica
TRL0021821-S7	South Afica
TRL0021881	South Afica
TRL0021931-S27	South Afica
TRL0022004-S8	South Afica
TRL0022006-S1	South Afica
TRL0022009-S37	South Afica
TRL0022047-S10	South Afica
TRL0022053-S14	South Afica
TRL0022536-S28	South Afica
TRL0022661-S9	South Afica
TRL0022753-S10	South Afica
TRL0023175-S6	South Afica
TRL0023419-S3	South Afica
TRL0023423-S10	South Afica
TRL0023615-S4	South Afica
TRL0023638-S6	South Afica
TRL0024083-S12	South Afica
TRL0024177-S29	South Afica
TRL0024182-S13	South Afica
TRL0024245-S21	South Afica
TRL0024281	South Afica
TRL0024361-S18	South Afica
TRL0024390-S24	South Afica
TRL0024410-S8	South Afica
TRL0024506-S9	South Afica
TRL0024745-S19	South Afica
TRL0024874-S16	South Afica
TRL0024875	South Afica
TRL0025007-S5	South Afica
TRL0025285-S11	South Afica
TRL0025403-S30	South Afica
TRL0025475-S12	South Afica
TRL0025476-S16	South Afica
TRL0025711-S14	South Afica
TRL0025762	South Afica
TRL0025873-S14	South Afica
TRL0025996-S9	South Afica
TRL0026167-S15	South Afica
TRL0026204-S13	South Afica
TRL0026310-S4	South Afica
TRL0026425-S47	South Afica
TRL0026428-S16	South Afica
TRL0026435	South Afica
TRL0026608-S23	South Afica
TRL0026655-S14	South Afica
TRL0026860-S24	South Afica
TRL0027342-S8	South Afica
TRL0027390-S21	South Afica
TRL0027392-S5	South Afica
TRL0027440-S12	South Afica
TRL0027505-S18	South Afica
TRL0027509-S21	South Afica
TRL0027521-S18	South Afica
TRL0028246-S7	South Afica
TRL0028320-S45	South Afica
TRL0028391-S16	South Afica
TRL0028744-S13	South Afica
TRL0028810-S9	South Afica
TRL0028961-S18	South Afica
TRL0029067-S40	South Afica
TRL0029138-S10	South Afica
TRL0029147-S19	South Afica
TRL0029432-S45	South Afica
TRL0029435	South Afica
TRL0029765	South Afica
TRL0029777-S19	South Afica
TRL0029793-S20	South Afica
TRL0029796-S8	South Afica
TRL0029808-S8	South Afica
TRL0029924-S17	South Afica
TRL0029926-S2	South Afica
TRL0029962	South Afica
TRL0030368-S15	South Afica
TRL0030380-S14	South Afica
TRL0030420	South Afica
TRL0030430-S9	South Afica
TRL0030872-S11	South Afica
TRL0030890	South Afica
TRL0030958-S27	South Afica
TRL0030963	South Afica
TRL0030979-S43	South Afica
TRL0030988-S20	South Afica
TRL0030991-S7	South Afica
TRL0031029-S19	South Afica
TRL0031114-S17	South Afica
TRL0031240-S32	South Afica
TRL0031430	South Afica
TRL0031434-S22	South Afica
TRL0031475-S9	South Afica
TRL0031487-S32	South Afica
TRL0031813-S6	South Afica
TRL0033281	South Afica
TRL0034386	South Afica
TRL0035150-S17	South Afica
TRL0035581	South Afica
TRL0035583-S28	South Afica
TRL0035631-S15	South Afica
TRL0035890-S42	South Afica
TRL0035923-S9	South Afica
TRL0036335-S14	South Afica
TRL0036568-S5	South Afica
TRL0036751	South Afica
TRL0036775-S15	South Afica
TRL0036776-S20	South Afica
TRL0036924-S16	South Afica
TRL0036926-S26	South Afica
TRL0036930-S8	South Afica
TRL0036942-S24	South Afica
TRL0037067	South Afica
TRL0037193-S22	South Afica
TRL0037206	South Afica
TRL0037347-S24	South Afica
TRL0037386-S2	South Afica
TRL0037387-S20	South Afica
TRL0037467	South Afica
TRL0037564	South Afica
TRL0037652-S18	South Afica
TRL0037981	South Afica
TRL0038177-S6	South Afica
TRL0038310-S24	South Afica
TRL0038707-S30	South Afica
TRL0038862-S25	South Afica
TRL0039158-S21	South Afica
TRL0039162-S20	South Afica
TRL0039430-S3	South Afica
TRL0039576-S17	South Afica
TRL0039671-S15	South Afica
TRL0040311-S22	South Afica
TRL0040326-S29	South Afica
TRL0040331-S7	South Afica
TRL0040360-S9	South Afica
TRL0040496-S23	South Afica
TRL0040499-S24	South Afica
TRL0040652-S21	South Afica
TRL0040865-S1	South Afica
TRL0040920	South Afica
TRL0040969-S27	South Afica
TRL0041171-S25	South Afica
TRL0041346-S20	South Afica
TRL0041397-S11	South Afica
TRL0042827-S3	South Afica
TRL0043120-S7	South Afica
TRL0043243-S18	South Afica
TRL0043301-S22	South Afica
TRL0043322-S7	South Afica
TRL0043478-S14	South Afica
TRL0043527-S1	South Afica
TRL0043666-S11	South Afica
TRL0043753-S29	South Afica
TRL0044622-S3	South Afica
TRL0045077-S11	South Afica
TRL0045387-S12	South Afica
TRL0045639-S8	South Afica
TRL0045723-S31	South Afica
TRL0045822-S7	South Afica
TRL0045830-S16	South Afica
TRL0046086-S18	South Afica
TRL0046151-S4	South Afica
TRL0046340-S3	South Afica
TRL0046364-S13	South Afica
TRL0047754-S26	South Afica
TRL0049135-S3	South Afica
TRL0049162-S14	South Afica
TRL0049838-S24	South Afica
TRL0050577-S10	South Afica
TRL0050689-S4	South Afica
TRL0051642-S16	South Afica
TRL0051961-S35	South Afica
TRL0052654-S12	South Afica
TRL0053150-S11	South Afica
TRL0053182-S12	South Afica
TRL0053298-S15	South Afica
TRL0054630-S6	South Afica
TRL0054676-S6	South Afica
TRL0054899-S1	South Afica
TRL0055792-S4	South Afica
TRL0056108-S28	South Afica
TRL0056156-S14	South Afica
TRL0056983-S31	South Afica
TRL0057006-S8	South Afica
TRL0057616-S8	South Afica
TRL0057674-S4	South Afica
TRL0057764-S21	South Afica
TRL0058691-S3	South Afica
TRL0058892-S16	South Afica
TRL0058914-S7	South Afica
TRL0059001-S5	South Afica
TRL0059070-S30	South Afica
TRL0059183-S11	South Afica
TRL0059197-S10	South Afica
TRL0059489-S28	South Afica
TRL0059646-S17	South Afica
TRL0060199-S17	South Afica
TRL0060342-S24	South Afica
TRL0060376-S28	South Afica
TRL0061033-S18	South Afica
TRL0061447-S19	South Afica
TRL0062100	South Afica
TRL0062143-S18	South Afica
TRL0062170-S16	South Afica
TRL0063032-S21	South Afica
TRL0063055-S29	South Afica
TRL0063456-S10	South Afica
TRL0063481-S2	South Afica
TRL0063555-S31	South Afica
TRL0063724	South Afica
TRL0063884-S3	South Afica
TRL0063896-S4	South Afica
TRL0063914-S16	South Afica
TRL0064013-S5	South Afica
TRL0064051	South Afica
TRL0064106	South Afica
TRL0064743	South Afica
TRL0065076-S23	South Afica
TRL0065110	South Afica
TRL0065252-S30	South Afica
TRL0065783-S36	South Afica
TRL0066126	South Afica
TRL0066835-S21	South Afica
TRL0066916-S30	South Afica
TRL0067004-S31	South Afica
TRL0067090-S39	South Afica
TRL0067425-S8	South Afica
TRL0067769-S10	South Afica
TRL0067882-S44	South Afica
TRL0067893-S5	South Afica
TRL0070076-S27	South Afica
TRL0070793-S28	South Afica
TRL0070824-S29	South Afica
TRL0070946-S21	South Afica
TRL0071256-S14	South Afica
TRL0071347-S18	South Afica
TRL0071867-S21	South Afica
TRL0072239-S14	South Afica
TRL0072266-S6	South Afica
TRL0072301-S14	South Afica
TRL0072847-S34	South Afica
TRL0073346-S17	South Afica
TRL0073356-S35	South Afica
TRL0073381-S2	South Afica
TRL0073593-S1	South Afica
TRL0073901-S17	South Afica
TRL0074012-S30	South Afica
TRL0074630-S3	South Afica
TRL0074676-S5	South Afica
TRL0074770-S22	South Afica
TRL0075111-S5	South Afica
TRL0075296-S24	South Afica
TRL0075316-S18	South Afica
TRL0075618-S48	South Afica
TRL0075945-S5	South Afica
TRL0076956-S28	South Afica
TRL0077249-S15	South Afica
TRL0077719-S14	South Afica
TRL0077722-S13	South Afica
TRL0077954-S26	South Afica
TRL0078551-S40	South Afica
TRL0078595-S27	South Afica
TRL0078651-S39	South Afica
TRL0078704-S32	South Afica
TRL0078721-S40	South Afica
TRL0078962-S28	South Afica
TRL0078971-S30	South Afica
TRL0078973-S11	South Afica
TRL0079131-S27	South Afica
TRL0079452-S12	South Afica
TRL0079551-S12	South Afica
TRL0079834-S3	South Afica
TRL0079878-S33	South Afica
TRL0080005-S15	South Afica
TRL0080018-S12	South Afica
TRL0080038-S9	South Afica
TRL0080041-S19	South Afica
TRL0080043-S24	South Afica
TRL0080058-S10	South Afica
TRL0080213-S17	South Afica
TRL0080353-S32	South Afica
TRL0080404-S40	South Afica
TRL0080516-S28	South Afica
TRL0080532-S39	South Afica
TRL0080546-S41	South Afica
TRL0080687-S31	South Afica
TRL0080690	South Afica
TRL0080718-S23	South Afica
TRL0080723-S21	South Afica
TRL0080727-S37	South Afica
TRL0080752-S4	South Afica
TRL0080755-S38	South Afica
TRL0080776-S28	South Afica
TRL0080777-S13	South Afica
TRL0080785-S12	South Afica
TRL0080791-S14	South Afica
TRL0080801-S15	South Afica
TRL0080882-S14	South Afica
TRL0080884-S1	South Afica
TRL0080892-S44	South Afica
TRL0080930-S14	South Afica
TRL0080932-S20	South Afica
TRL0081243-S3	South Afica
TRL0081253-S25	South Afica
TRL0081266-S48	South Afica
TRL0081268-S7	South Afica
TRL0081269-S18	South Afica
TRL0081319-S9	South Afica
TRL0081326-S20	South Afica
TRL0081349-S2	South Afica
TRL0081367-S19	South Afica
TRL0081395-S8	South Afica
TRL0081682-S42	South Afica
TRL0081746-S3	South Afica
TRL0081761-S26	South Afica
TRL0081942-S6	South Afica
TRL0081955-S11	South Afica
TRL0082067-S3	South Afica
TRL0082082-S45	South Afica
TRL0082136-S24	South Afica
TRL0082159-S26	South Afica
TRL0082388-S37	South Afica
TRL0082601-S45	South Afica
TRL0082605-S22	South Afica
TRL0082637-S41	South Afica
TRL0082691-S24	South Afica
TRL0082771-S31	South Afica
TRL0083264-S4	South Afica
TRL0083275-S29	South Afica
TRL0083278-S8	South Afica
TRL0083314-S30	South Afica
TRL0083371-S6	South Afica
TRL0083454-S15	South Afica
TRL0083460-S16	South Afica
TRL0083465-S13	South Afica
TRL0083472-S1	South Afica
TRL0083549-S20	South Afica
TRL0083568-S31	South Afica
TRL0083637-S3	South Afica
TRL0083756-S15	South Afica
TRL0083821-S16	South Afica
TRL0084031-S28	South Afica
TRL0084076-S21	South Afica
TRL0084152-S40	South Afica
TRL0085498-S23	South Afica
TRL0085644-S26	South Afica
TRL0090037-S18	South Afica
TRL0091482-S35	South Afica
TRL0093860-S21	South Afica
YA00000352-S19	South Afica
YA00000468-S9	South Afica
