"Supplementary Dataset 3. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_B1	C00012804	ERS398207	aureus	15	cc15	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00012805	ERS398208	aureus	NA	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012806	ERS398209	aureus	8	cc8	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012807	ERS398210	aureus	8	cc8	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012808	ERS398211	aureus	8	cc8	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012809	ERS398212	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012810	ERS398213	aureus	8	cc8	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012811	ERS398214	aureus	8	cc8	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012812	ERS398215	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012814	ERS398217	aureus	254	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012815	ERS398218	aureus	95	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012816	ERS398219	aureus	30	cc30	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012817	ERS398220	aureus	8	cc8	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012818	ERS398221	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012819	ERS398222	aureus	8	cc8	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00012820	ERS398223	aureus	45	cc45	S	R		S	S	S	S	S	S	S		S
St_B1	C00012821	ERS398224	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012822	ERS398225	aureus	8	cc8	S	R		S	S	S	S	S	S	S		S
St_B1	C00012823	ERS398226	aureus	30	cc30	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012824	ERS398227	aureus	1	cc1	S	S		R	S	S	S	S	S	S	R	S
St_B1	C00012825	ERS398228	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012826	ERS398229	aureus	59	cc59	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012827	ERS398230	aureus	59	cc59	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012828	ERS398231	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012829	ERS398232	aureus	22	cc22	S	R		R	R	R	S	S		S	R	S
St_B1	C00012830	ERS398233	aureus	12	cc12	S	S		S	S	S	S	S	S	S		S
St_B1	C00012831	ERS398234	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_B1	C00012832	ERS398235	aureus			S	S		S	S	S	S	S	S	S		S
St_B1	C00012833	ERS398236	aureus			S	R		R	R	R	S	S	S	S		S
St_B1	C00012834	ERS398237	aureus			S	S		R	S	S	S	S	S	S		S
St_B1	C00012835	ERS398238	aureus			S	R		S	S	S	S	S	S	S		S
St_B1	C00013156	ERS398239	aureus	NA	NA	S	R		R	S	S	S	S	S	S		S
