"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00008825	SRR2100280	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018010	SRR2101275	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015024	SRR2101058	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018012	SRR2101277	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003768	ERR038276	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003769	ERR038277	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003764	ERR038272	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003765	ERR038273	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003762	ERR038270	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003761	ERR038269	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005298	ERR046763	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00009079	SRR2100393	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005348	SRR2100083	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005349	SRR2100084	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005342	SRR2467265	tuberculosis	S	S	S							
MTBC_A2	C00005340	SRR2100079	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005346	SRR2100081	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005347	SRR2100082	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005345	SRR2100080	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00016856	SRR2101095	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00016857	SRR2101096	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003779	ERR038287	tuberculosis	S	S	S	 	 	 	 	 	 	 
